Year|Title|Body|Category
2005|Mayni|"Maynironki ikai pishtanko kai, jaronki akai jonin jato yoikin: Jainra Mayni joai maton nonti jonekanwe akin, jaironki ikai westiora nontiki itan tapan baneta, neteketian Maynin boai ja nonti, jaton atsapoto itan atún jato bonankin jaskashon, moa bariapan iketian, Maynini jato pinana iki."| Cuento
2005|Koninewa|"Konin ewaronki ika iki masho chibani, jaskati konin ewa, nato eara pikaskanai ikai nato mashoki chibana, ea jonewe aronkiai burroki, jaskati ja burro joneke pues ja masho, nato jaironki ikai burro mawata keska osha pues konin ewa moa pei nama jonea, konin ewa oshake ja burro ja mawata keska rakata, shete maya mayati, konin ewa ronki ikai nato non nami merake ironkiai, jatianronki ikai burro merashki ja jatian menkokaina naman boo papiya shama iti, jaskashonronki akai shetekin, jakaya jawen mapo moa aki itan, en tsekake neska neska iki, jaskashonronki akai pesh akin ronki ikai moa nato manko moa, jaskati nato manko moa."| Cuento
2005|Pabebetan benche ini|"Pabe itan bencheronki ikai ina inati, jaskati ina inatironki ikai yoshinki shein iki. - ¿Minki ninkata aronkiai benchenki? ja pabe - ¿Minki oina aronkia pabenki ja? benche."| Cuento
2005|Asha|"Ashaisironki akai pues sontaroki bokanki, bokana, ja boshon rishkionkana iki jabiki isinyamai jaskashonronki yoiyai: - Nato capitán - Earibi riki capitán nokon jemamea aronkiai. - Nato koshi - Ea riki koshi nokon shobon aronkiai - Nato teniente - Earibiriki teniente nokon jeman aronkiaki ashakanki ja sontaronin yokataintian."| Cuento
2005|Joni jaskatash koshiya ini|"Jonironki ikai kikin yosma, jaskati yosma iketianronki akai jawen awinki bichinreskanki, yomeraironki kai, jaishonki akai westiora joni mashko merakin jaskashon yokakin: - ¿Jawe kenirin mea joni akin? - Eara nokon awin ea bichinreskanai, eara mawakasai, joni mashkonronki yoiyai: - Ea kikin akin pimawe itan en mia koshi meneai. Jaskashonronki pimai, ja joni mashko moa yamapaketi, japekao ja joni karibai jawen shobon, nokoshon merai ja joni jawen awin bichina osha nato joni kikini sinata yatanronkiai ashon maiki potakin. Jatian ja joni kopikasabironki ikai atikoma, ja joni ja awin bichinkanaronki timai ja wetsa, jaskatashronki ika iki westiora joni koshiya"| Cuento
2005|Yosishokobetan nawa ini|"Westiora yosishokoronki ikai keyakai keyakai, jaronki akai westiora nawan ""OYE CUMPA IGNORANTE"" akin jatian yosishokon ninkataronki ikai ""INON RANTI"" jatianronki ikai yosiki yoyo iki: Eara yosiki ikashbi westiora inobi en ranyamai."| Cuento
2005|Shawanpico|"Shawanpicoronki ikai ina inati, ina inakin oinaronki ikai bechonmeran westiora jaweki meraki. Merashonronki akai chachikin, ashon mashin bochiki kaitian, oinaronki ikai awaisiki chachia chibanronkiai manishmeran, ironkiai shawanpico manoti. Jonibo, shawanpico kimisha nete manota ninkatash jawen chopa velani ikanai. Shawanpico, manota iitainbironki ikai campo napon joi, ninkaronkiai jakopi winikanai, westiora joni merashonronki akai yoikin: winiwiniyamakawen eapari awa retekinparikanwen."| Cuento
2005|Bachi|"Westiora jonironki kaa iki yomerai, iaman, ja kaa pekao ronki ikai niweabati, ani niweabati, nokoshonronki ake bachi kikin wiso aniosi chiakin, kikin wiso, niaki jaskati yame, jainki mishki kake yosi pinoshon, joshon oina yama, bawabaon pia, ameman pia"| Cuento
2005|Kochara Jevova janeya|"Westiora jonironki ika iki mishki, mishki kai ten abaini ronki akai kopishokokin, jakiribi akaitianronki akai choronai oinaronki ikai joshobawen jisaisi, ja ochomai oinaronki ikai nato kikin ani kocharaisi JE-HO-VA ika, jawen papashokon kocharaisikaya JEremías HOyos VArgas ika"| Cuento
2005|Atsasheati raonkana ini|"Westiora jonironki jawen chaibetan ani sheati akanke, ani sheati, jawen chai awa nami retei bokanke, westiora yoshan ainbo potabainke, jainronki ikai ino wiso aniosiki joi, jain jakanpan, kosinai pontekain atsa sheati koshoni, jainoash karibake jainoash joribake, jain jonibo bekanke sheakashorai, jabora westiora joni aniositon koshonbainke, piyamakanwe, sheayamakanwe, jainronki akai sheakin, jaronki joshonronki wiso ino aniosiki enteroisiki sheakin, jatibi joni jawen chaibo shotonpakeke, wetsa joni bochiki neta, jainki campasi oinkanke, nawa reteiosi bokanke natotio aniosi makan wiso, wiso makan, jabira ino aniosi jaton kishi jatibi piana, ja retekanke koshonsho. Jaskatash bekanke jawen chaibetan."| Cuento
2005|Santira yometsobo|"Westiora jonironki akai santira ima imayamabireskin, jatian pescadornin ima imayamabireskin, jatian ja joninronki akai westiora yosi tari poipoishoko koiranti rankin, ranaronki ikai, pescadorki ikai yame pochinikon santira benai, jaskati yosishoko oshakan bipakebainkin, ja piaronki ikai moa yosi osharonki ikai pescadorbo anishaman santira benakaon iki, anishaman santira benakaon iki, jaskati anichaisi benakaon jabirashon kokonon, akaronki ikai jaskati ja yosi tarin mapotaisi iketian, jawen mapoki santira keska , jaronki ikai jawen bero yatanakana ayao iki sai iki, kaki pescadorboki santira biamabi bokanke."| Cuento
2005|Koshoska yoshin moatian yoikatikanae|"Moatianronki ika iki nato koshoshka joniai, westiora neteronki ika iki ainbo koshoskanin keni, joniai kopi, jatianronki nato joni jokatiai yametibi, itan kakataitian, itan moa onankana iki joni yametibi joi jawen poi benai, itan japekao jawen poibo, itan jawen poibo yoyo ika iki ja jonibetan, itan westiora neteronki bokana iki paenki, jatibi yame, moa netai oinashronki ika iki jonétikoma jawen chaiboki, itan kaa iki jeneki ja kaketian oinaronki ika iki jawen wetsabaon manakin jaweranoki pikotai ishon, pikoyama iki, koshoskareski pikota iki, jainshonronki onankana iki ja joni koshoskaisi, itan keshankana iki jaton papa, itan westiora yameronki joa iki, itan jawen chaibaon chibana iki, itan oinkana iki jenen kash koshoska ikai, itan jainshonronki chachikana iki chikaronin itan jaskashon retekana iki, wiso maiti toroyaronki ika iki, jawen maitironki ika iki iwi, itan jawen zapatoronki ika iki ipo jaskatashronki ika iki joniai nato koshoshka."| Cuento
2005|Roninewa|"Nato Limongema repintiain moatianbironki ika iki tsosinyamai, itan jatibitianronki ika iki ja limongema repeintiain ikain tsosinyamai, itan moa rabe baritia riki tsosini peokota, jatianronki aka iki ja jain ikabaon yoikin jain katima tsosiyamai kopi, iboyaronki ika iki ja jene."| Cuento
2005|Joni shenoberish ini|"Westiora jonironki ika iki shenoshoko, shoabires, bewis, wanoma tsonbi biamakana, shenoya iketian biamakana, iti merake ainbo shoa, jatianki binoshon yoyo ake, eara mion kenyamai aronkiai, jabira en mia biai. Yameki joa iki jaiba jikikasi, ja joketian, jawen jane Chonon. -¿Jawe aki mia joa chono?. Eara mion kenyamai katanwe aronkiai. Jabiki Chonon yoitima, moa kimisha yame osha tenema, joribarai Chono katanwe aronkiai, moa kimisha yame osha tenea. Jainki joe noka akanke. Jainki bachi kerakanshon neno meke, jawen maponko jawen shani yatanke, wesh jeeee Chononshon nokon shani boai, min benen bishonon bake aronkiai, jaskashon Chonoman shani boshon raonike, jaskashon bia iki."| Cuento
2005|Kashi Joni|"Moaronki ikaki kashiki joniai. Meshaki itan wanoaiki aimbobetan. Wanopekaiki ja cashi joni ka ikicacho jan nonti aki. -Ja cashi joni akaiki jan awin yoikin ea benai kakin ea juuuu anoshewin akin. -Jatian ja aimbonin shinanaiki jaweska kopi ea naton jonin ea jaska akai ishon? Ja aimbo ronki ikai kai ja joni benai, ja kaya jan nontio aki.ja aimbonin ronki akai ti akin .becheronkiaiki ja joni cashi beisa iki. Aimbo ronki ratetaiki ja wenash itan ja joni cashi rabini noyaiki jainoash jatianbi joyamaiki."| Cuento
